[2020-06-09 10:00:22,038] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:22,049] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:22,057] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap.min.js?_=1591668020417 HTTP/1.1" 200 28392
[2020-06-09 10:00:22,057] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-zh-CN.min.js?_=1591668020419 HTTP/1.1" 200 9447
[2020-06-09 10:00:22,057] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.datatables.min.js?_=1591668020416 HTTP/1.1" 200 82068
[2020-06-09 10:00:22,058] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.min.js?_=1591668020415 HTTP/1.1" 200 96383
[2020-06-09 10:00:22,059] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-fixed-columns.js?_=1591668020420 HTTP/1.1" 200 6049
[2020-06-09 10:00:22,060] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table.min.js?_=1591668020418 HTTP/1.1" 200 114691
[2020-06-09 10:00:22,069] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-export.min.js?_=1591668020421 HTTP/1.1" 200 32704
[2020-06-09 10:00:22,072] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/tableExport.min.js?_=1591668020422 HTTP/1.1" 200 37336
[2020-06-09 10:00:22,129] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/CMNETwin_2/ HTTP/1.1" 200 21435
[2020-06-09 10:00:22,297] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-editable.min.js?_=1591668020423 HTTP/1.1" 200 74174
[2020-06-09 10:00:22,303] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap.min.js?_=1591668020426 HTTP/1.1" 200 28392
[2020-06-09 10:00:22,387] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.min.js?_=1591668020424 HTTP/1.1" 200 96383
[2020-06-09 10:00:22,392] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-zh-CN.min.js?_=1591668020428 HTTP/1.1" 200 9447
[2020-06-09 10:00:22,449] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.datatables.min.js?_=1591668020425 HTTP/1.1" 200 82068
[2020-06-09 10:00:22,480] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table.min.js?_=1591668020427 HTTP/1.1" 200 114691
[2020-06-09 10:00:22,492] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-fixed-columns.js?_=1591668020429 HTTP/1.1" 200 6049
[2020-06-09 10:00:22,521] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/tableExport.min.js?_=1591668020431 HTTP/1.1" 200 37336
[2020-06-09 10:00:22,551] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-export.min.js?_=1591668020430 HTTP/1.1" 200 32704
[2020-06-09 10:00:22,552] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /CMNETwinUpload/show_trunkcircuit/ HTTP/1.1" 200 217541
[2020-06-09 10:00:22,555] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.datatables.min.js?_=1591668020434 HTTP/1.1" 200 82068
[2020-06-09 10:00:22,555] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap.min.js?_=1591668020435 HTTP/1.1" 200 28392
[2020-06-09 10:00:22,556] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-editable.min.js?_=1591668020432 HTTP/1.1" 200 74174
[2020-06-09 10:00:22,556] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.min.js?_=1591668020433 HTTP/1.1" 200 96383
[2020-06-09 10:00:22,558] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table.min.js?_=1591668020436 HTTP/1.1" 200 114691
[2020-06-09 10:00:22,571] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-fixed-columns.js?_=1591668020438 HTTP/1.1" 200 6049
[2020-06-09 10:00:22,571] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-export.min.js?_=1591668020439 HTTP/1.1" 200 32704
[2020-06-09 10:00:22,572] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-zh-CN.min.js?_=1591668020437 HTTP/1.1" 200 9447
[2020-06-09 10:00:22,574] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/tableExport.min.js?_=1591668020440 HTTP/1.1" 200 37336
[2020-06-09 10:00:22,576] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-editable.min.js?_=1591668020441 HTTP/1.1" 200 74174
[2020-06-09 10:00:22,579] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.min.js?_=1591668020442 HTTP/1.1" 200 96383
[2020-06-09 10:00:22,580] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap.min.js?_=1591668020444 HTTP/1.1" 200 28392
[2020-06-09 10:00:22,582] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table.min.js?_=1591668020445 HTTP/1.1" 200 114691
[2020-06-09 10:00:22,582] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/jquery.datatables.min.js?_=1591668020443 HTTP/1.1" 200 82068
[2020-06-09 10:00:22,592] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-zh-CN.min.js?_=1591668020446 HTTP/1.1" 200 9447
[2020-06-09 10:00:22,627] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-fixed-columns.js?_=1591668020447 HTTP/1.1" 200 6049
[2020-06-09 10:00:22,651] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/bootstrap/bootstrap-table-export.min.js?_=1591668020448 HTTP/1.1" 200 32704
[2020-06-09 10:00:22,658] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jQuery/tableExport.min.js?_=1591668020449 HTTP/1.1" 200 37336
